Time,BV,Title,Author,Status,Comment,Source,Toast
2026-02-25 20:00:30,BV1zpf3BVE2m,整整803个藏品宝箱！究竟能够开出多少东西？最后能赚到多少钱呢？,颜心做的cat,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:00:52,BV1X7fGBvEBN,一秒变异！夺舍刘涛+满改M14+AWM，957万撤离！,苏醒游戏解说,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:01:14,BV1kLfFBEE5w,【单三天才】赛伊德挑战 11=0→?,老飞宇66,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:01:33,BV1AzfAB8Enx,三角洲：六套演队友最搞笑的一局，不笑的应该是玉玉了。,晓杰演兑油行动,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:01:51,BV1Bmf5BXE45,我能在逗笑考官的同时通过护航考核吗?#4初心纯女电竞,带秀乌鸦,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:23:23,BV1fNfGBCEJu,这波思路没问题 可惜急了,优E-,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:23:40,BV1UbZ7BzEF7,【速凌宇宙】第十一集：阿萨拉新角色出场！哈基蜂监狱大战典狱长？？！！,高司令-速凌电竞,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:23:53,BV114fgBDEvF,王宇昊爽吃六桶奶粉！,王宇昊最严厉的父亲,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:24:12,BV1bWZLBNEHP,【鼠魂觉醒第二季】第2集,自然锦鲤_,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:24:32,BV1G9ZiBKEBW,赛伊德变异阿萨拉小兵,苏醒游戏解说,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:25:44,BV1HHfVBQE8K,开局只是小兵！升级可以变成典狱长？！我的世界,一个小立丶,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:26:05,BV1VZZQBmELg,【三角洲日服】带日本妹妹日服夺舍！,包子三角洲行动,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:26:27,BV1zpf3BVE2m,整整803个藏品宝箱！究竟能够开出多少东西？最后能赚到多少钱呢？,颜心做的cat,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 20:44:11,BV1fNfGBCEJu,这波思路没问题 可惜急了,优E-,成功,三角洲玩家一起玩,Template,发送成功
2026-02-25 21:03:03,BV1BYZaBAEK1,总是花钱跑刀？学会思路把把百万不是梦！,划岭,成功,这思路太实用了，正好缺个搭子一起实践，有人一起研究跑刀打法吗？,AI,发送成功
2026-02-25 21:03:40,BV1fXfNBtEKU,航天基地不是三角洲最简单的地图吗？【三角洲行动】,粥粥的奇妙冒险,成功,航天基地这图确实简单，但一个人打还是差点意思，有搭子一起开黑才好玩！,AI,发送成功
2026-02-25 21:04:11,BV1CFZQBtE4g,三角洲欧皇你见过吗？,刘蟹水,失败,这运气也太顶了，看得我也想上线试试手气！有一起开黑的搭子吗，凑个队一起玩啊,AI,
2026-02-25 21:10:30,BV1zwZbBoEgj,三角洲行动 配件再出BUG！150%腰射收益！全新近战性价比之神MK4的全面解析与改法教学！【A+】,Always聪聪,成功,聪聪这期配件解析太实用了！MK4这波腰射增强后近战真的猛，正好想找几个搭子一起练练新改法，有兄弟一起开黑吗？,AI,发送成功
2026-02-25 21:10:58,BV1BYZaBAEK1,总是花钱跑刀？学会思路把把百万不是梦！,划岭,成功,这思路太实用了！正好最近在三角洲行动里缺个稳定开黑搭子，有人一起研究跑刀打法吗？,AI,发送成功
2026-02-25 21:11:18,BV1tRfPBMEwr,无敌电刺点位思路教学，学不会你骂我！,无敌的小雾宝,成功,这电刺点位太刁钻了，学到了！正好缺个搭子一起练，有兄弟组队吗？,AI,发送成功
2026-02-25 21:11:43,BV1jcfgBzE9G,无名自动锁敌技巧，直接相当于开透视,小怂弟,成功,这技巧太实用了，正好缺个开黑搭子一起练练手，有人组队吗？,AI,发送成功
2026-02-25 21:12:03,BV1VUfJBtEyd,巴克什1v21の传说,miku三角洲,成功,这波操作太帅了！三角洲行动里1v21真的需要队友配合，有没有一起开黑的搭子？,AI,发送成功
