Time,BV,Title,Author,Status,Comment
2026-02-11 04:15:16,BV1RvsHzNERi,【02节】爬虫概念和原理_爬虫入门到实战_基于Python编程,爬虫教程,成功,UP视频做的好棒！支持！
2026-02-11 04:15:26,BV1EHdUYEEEj,（冒死上传）50分钟超快速入门Python爬虫 | 动画教学【2025新版】【自学Python爬虫教程】【零基础爬虫】,林粒粒讲Python,成功,UP视频做的好棒！支持！
2026-02-11 04:15:36,BV14aFCznENi,【全800集】目前B站最全最细的Python零基础全套教程，2026最新版（包含爬虫+数据分析），七天Python从入门到精通！存下吧，很难找全的！,Python系统课程,成功,UP视频做的好棒！支持！
2026-02-11 04:34:12,BV1SLN4zREdh,【整整600集】2025最细自学Python爬虫全套教程，拿走不谢，全程干货无废话！从零基础Python小白进阶到大神看这套就够了！学会即可就业！,大厂Python代码猿,成功,UP视频做的好棒！支持！
2026-02-11 04:34:21,BV1KDFkzJErj,买python爬虫课之前，至少要问问豆包和元宝吧！,林夏的小城生活,成功,UP视频做的好棒！支持！
2026-02-11 04:34:31,BV1KK4y1s7iK,写爬虫真的会坐牢吗？,知安局,成功,UP视频做的好棒！支持！
2026-02-11 04:44:11,BV17SFazuEX3,（冒死上传）50分钟超快速入门Python爬虫 | 【2026新版】【自学Python爬虫教程】【零基础爬虫】,青木学长教Python,成功,UP视频做的好棒！支持！
2026-02-11 04:44:21,BV1ih411a7PK,月薪1w的程序员 爬淘宝被判3年 写爬虫别碰这3条！,麦叔编程,成功,UP视频做的好棒！支持！
2026-02-11 04:44:30,BV1d54y1g7db,【Python+爬虫】爆肝两个月！拜托三连了！这绝对是全B站最用心（没有之一）的Python+爬虫公开课程，从入门到（不）入狱 ！,GenJi是真想教会你,成功,UP视频做的好棒！支持！
2026-02-11 04:44:42,BV1ucqgYCEkA,兄弟们年底了，爬虫接急单又进去一个，都小心点！,北京艾雷克斯企业管理,失败,UP视频做的好棒！支持！
2026-02-11 04:44:52,BV1uN4y1W7Du,【吊打付费】目前B站最完整的Python爬虫教程，包含所有干货内容！这还没人看，我不更了！,Python研究社,成功,UP视频做的好棒！支持！
2026-02-11 04:45:02,BV1ouJJz2Een,维基百科被AI啃到投降？为啥大模型爬虫正在榨干整个互联网？【差评君】,差评君,成功,UP视频做的好棒！支持！
2026-02-11 04:56:57,BV1vtFSz7Ecc,【小白完美适配】2026最细最完整自学Python爬虫全套教程，拿走不谢，全程干货无废话！从零基础Python小白进阶到大神看这套就够了！学会即可就业！,B站知识分享官,成功,UP视频做的好棒！支持！
2026-02-11 05:12:52,BV1RQrdBJEi9,史上最大金刚！靓仔暴力手撕骷髅爬虫，万字拆解《金刚：骷髅岛》,迷影至下Filmlast,成功,UP视频做的好棒！支持！
2026-02-11 05:13:03,BV11922BREmy,【网络安全零基础入门】2026年最全网络安全课程（信息安全、网络安全、内网渗透、漏洞挖掘、SQL注入、攻防演练、CTF、爬虫安全）一口气学完！快速入门极简单,网络安全入门到精通,成功,UP视频做的好棒！支持！
2026-02-11 05:13:12,BV1vs29BZEzG,【全748集】清华大佬终于把Python全套教程讲完了！入门到实战全新讲解，一个月带你小白变大神！（程序员|Python入门零基础|网络爬虫|数据分析）,Python零基础官方课程,成功,UP视频做的好棒！支持！
2026-02-11 05:13:21,BV1sHU9BmEne,黑马程序员Python+AI零基础入门到大神全套视频课程，覆盖Python核心语法、AI应用、数据分析及Web应用等python实战项目开发全流程,黑马程序员,成功,UP视频做的好棒！支持！
